Date : 2023-07-01 16:35:07
Directory : c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl
Total : 303 files,  781351 codes, 98956 comments, 13349 blanks, all 893656 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\clib\u8x8_d_t6963.c                                           | C          |        347 |        155 |         62 |        564 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\clib\u8x8_d_uc1601.c                                          | C          |        126 |         39 |         24 |        189 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\clib\u8x8_d_uc1604.c                                          | C          |        146 |         59 |         36 |        241 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\clib\u8x8_d_uc1608.c                                          | C          |        261 |         69 |         64 |        394 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\clib\u8x8_d_uc1610.c                                          | C          |        158 |        103 |         44 |        305 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\clib\u8x8_d_uc1611.c                                          | C          |        446 |        118 |         70 |        634 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\clib\u8x8_d_uc1617.c                                          | C          |        165 |         44 |         33 |        242 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\clib\u8x8_d_uc1638.c                                          | C          |        140 |         51 |         33 |        224 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\clib\u8x8_d_uc1701_dogs102.c                                  | C          |        137 |         43 |         24 |        204 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\clib\u8x8_d_uc1701_mini12864.c                                | C          |        139 |         43 |         24 |        206 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\clib\u8x8_debounce.c                                          | C          |        111 |         76 |         19 |        206 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\clib\u8x8_display.c                                           | C          |         88 |         56 |         21 |        165 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\clib\u8x8_fonts.c                                             | C          |     19,043 |        789 |          2 |     19,834 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\clib\u8x8_gpio.c                                              | C          |          5 |         40 |          5 |         50 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\clib\u8x8_input_value.c                                       | C          |         70 |         44 |         10 |        124 |
