"filename", "language", "Ini", "C++", "C", "Properties", "Markdown", "YAML", "JSON", "comment", "blank", "total"
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\full_buffer\FontUsage\FontUsage.ino", "C++", 0, 159, 0, 0, 0, 0, 0, 306, 49, 514
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\full_buffer\GraphicsTest\GraphicsTest.ino", "C++", 0, 193, 0, 0, 0, 0, 0, 254, 37, 484
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\full_buffer\HelloWorld\HelloWorld.ino", "C++", 0, 18, 0, 0, 0, 0, 0, 251, 11, 280
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\full_buffer\IconMenu\IconMenu.ino", "C++", 0, 140, 0, 0, 0, 0, 0, 268, 32, 440
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\full_buffer\PrintUTF8\PrintUTF8.ino", "C++", 0, 23, 0, 0, 0, 0, 0, 253, 16, 292
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\full_buffer\ScreenShot\ScreenShot.ino", "C++", 0, 20, 0, 0, 0, 0, 0, 256, 13, 289
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\full_buffer\SelectionList\SelectionList.ino", "C++", 0, 43, 0, 0, 0, 0, 0, 259, 23, 325
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\full_buffer\Shennong\Shennong.ino", "C++", 0, 104, 0, 0, 0, 0, 0, 333, 47, 484
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\full_buffer\U8g2Logo\U8g2Logo.ino", "C++", 0, 70, 0, 0, 0, 0, 0, 253, 24, 347
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\full_buffer\UpdateArea\UpdateArea.ino", "C++", 0, 43, 0, 0, 0, 0, 0, 257, 23, 323
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\full_buffer\Weather\Weather.ino", "C++", 0, 116, 0, 0, 0, 0, 0, 280, 42, 438
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\games\LittleRookChess\LittleRookChess.ino", "C++", 0, 1351, 0, 0, 0, 0, 0, 635, 362, 2348
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\games\SpaceTrash\SpaceTrash.ino", "C++", 0, 1056, 0, 0, 0, 0, 0, 472, 187, 1715
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\A2Printer\A2Printer.ino", "C++", 0, 89, 0, 0, 0, 0, 0, 47, 32, 168
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\Chinese\Chinese.ino", "C++", 0, 24, 0, 0, 0, 0, 0, 255, 13, 292
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\ClipWindow\ClipWindow.ino", "C++", 0, 27, 0, 0, 0, 0, 0, 270, 25, 322
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\Clock\Clock.ino", "C++", 0, 27, 0, 0, 0, 0, 0, 271, 20, 318
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\ContrastTest\ContrastTest.ino", "C++", 0, 50, 0, 0, 0, 0, 0, 260, 23, 333
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\Devanagari\Devanagari.ino", "C++", 0, 54, 0, 0, 0, 0, 0, 294, 27, 375
